2c48vuk2f6n4glc2lcegzbgz8wgj8y3l5,c48vuk2f6n4glc2lcegzbgz8wgj8y3l5,1,50.24 (달러),True
3c48vuk2f6n4glc2lcegzbgz8wgj8y3l5,c48vuk2f6n4glc2lcegzbgz8wgj8y3l5,2,12월,True
2hertziz1frv1r5u5l3nunmjgd1urln0p,hertziz1frv1r5u5l3nunmjgd1urln0p,1,50.24 (달러),True
3hertziz1frv1r5u5l3nunmjgd1urln0p,hertziz1frv1r5u5l3nunmjgd1urln0p,2,12월,True
4c48vuk2f6n4glc2lcegzbgz8wgj8y3l5,c48vuk2f6n4glc2lcegzbgz8wgj8y3l5,3,37.04 - 60.95 (달러),True
4hertziz1frv1r5u5l3nunmjgd1urln0p,hertziz1frv1r5u5l3nunmjgd1urln0p,3,37.04 - 60.95 (달러),True
5c48vuk2f6n4glc2lcegzbgz8wgj8y3l5,c48vuk2f6n4glc2lcegzbgz8wgj8y3l5,4,올라가고,False
5hertziz1frv1r5u5l3nunmjgd1urln0p,hertziz1frv1r5u5l3nunmjgd1urln0p,4,내려가고,True
6c48vuk2f6n4glc2lcegzbgz8wgj8y3l5,c48vuk2f6n4glc2lcegzbgz8wgj8y3l5,5,4 (달러),False
6hertziz1frv1r5u5l3nunmjgd1urln0p,hertziz1frv1r5u5l3nunmjgd1urln0p,5,15 (달러),True
7c48vuk2f6n4glc2lcegzbgz8wgj8y3l5,c48vuk2f6n4glc2lcegzbgz8wgj8y3l5,6,15.5 (Mbps),True
8c48vuk2f6n4glc2lcegzbgz8wgj8y3l5,c48vuk2f6n4glc2lcegzbgz8wgj8y3l5,7,대한민국,True
2eut5j9aoebqkhlbnhy2c9kxze24rwhp0,eut5j9aoebqkhlbnhy2c9kxze24rwhp0,1,50.24 (달러),True
3eut5j9aoebqkhlbnhy2c9kxze24rwhp0,eut5j9aoebqkhlbnhy2c9kxze24rwhp0,2,12월,True
7hertziz1frv1r5u5l3nunmjgd1urln0p,hertziz1frv1r5u5l3nunmjgd1urln0p,6,15.5 (Mbps),True
4eut5j9aoebqkhlbnhy2c9kxze24rwhp0,eut5j9aoebqkhlbnhy2c9kxze24rwhp0,3,37.04 - 60.95 (달러),True
5eut5j9aoebqkhlbnhy2c9kxze24rwhp0,eut5j9aoebqkhlbnhy2c9kxze24rwhp0,4,내려가고,True
9c48vuk2f6n4glc2lcegzbgz8wgj8y3l5,c48vuk2f6n4glc2lcegzbgz8wgj8y3l5,8,2 - 20.5 (Mbps),True
8hertziz1frv1r5u5l3nunmjgd1urln0p,hertziz1frv1r5u5l3nunmjgd1urln0p,7,대한민국,True
10c48vuk2f6n4glc2lcegzbgz8wgj8y3l5,c48vuk2f6n4glc2lcegzbgz8wgj8y3l5,9,7,True
6eut5j9aoebqkhlbnhy2c9kxze24rwhp0,eut5j9aoebqkhlbnhy2c9kxze24rwhp0,5,15 (달러),True
11c48vuk2f6n4glc2lcegzbgz8wgj8y3l5,c48vuk2f6n4glc2lcegzbgz8wgj8y3l5,10,35.4 (달러),False
9hertziz1frv1r5u5l3nunmjgd1urln0p,hertziz1frv1r5u5l3nunmjgd1urln0p,8,2 - 20.5 (Mbps),True
7eut5j9aoebqkhlbnhy2c9kxze24rwhp0,eut5j9aoebqkhlbnhy2c9kxze24rwhp0,6,15.5 (Mbps),True
8eut5j9aoebqkhlbnhy2c9kxze24rwhp0,eut5j9aoebqkhlbnhy2c9kxze24rwhp0,7,대한민국,True
10hertziz1frv1r5u5l3nunmjgd1urln0p,hertziz1frv1r5u5l3nunmjgd1urln0p,9,7,True
9eut5j9aoebqkhlbnhy2c9kxze24rwhp0,eut5j9aoebqkhlbnhy2c9kxze24rwhp0,8,2 - 20.5 (Mbps),True
12c48vuk2f6n4glc2lcegzbgz8wgj8y3l5,c48vuk2f6n4glc2lcegzbgz8wgj8y3l5,11,6 - 10,False
11hertziz1frv1r5u5l3nunmjgd1urln0p,hertziz1frv1r5u5l3nunmjgd1urln0p,10,12 (달러),True
10eut5j9aoebqkhlbnhy2c9kxze24rwhp0,eut5j9aoebqkhlbnhy2c9kxze24rwhp0,9,6,False
2k4jt22t11cfeqw5kpphr649jzmqi7smq,k4jt22t11cfeqw5kpphr649jzmqi7smq,1,50.24 (달러),True
3k4jt22t11cfeqw5kpphr649jzmqi7smq,k4jt22t11cfeqw5kpphr649jzmqi7smq,2,12월,True
13c48vuk2f6n4glc2lcegzbgz8wgj8y3l5,c48vuk2f6n4glc2lcegzbgz8wgj8y3l5,12,대구,True
4k4jt22t11cfeqw5kpphr649jzmqi7smq,k4jt22t11cfeqw5kpphr649jzmqi7smq,3,37.04 - 60.95 (달러),True
12hertziz1frv1r5u5l3nunmjgd1urln0p,hertziz1frv1r5u5l3nunmjgd1urln0p,11,on,False
